seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
51,12660,7000,13692,-1236,4008,-3078,0.02,-0.13,-0.08,0.988159,3.36155,14.986605,8.605022,4192,5549,4138,3705,4766,5388
52,14768,-944,7624,-1390,4095,-3563,0.01,-0.09,-0.11,0.98938,2.913158,10.379742,12.715051,4996,3867,976,5441,2653,2052
53,17476,-12216,-4692,-1529,4461,-3849,0.01,-0.05,-0.15,0.987244,1.595099,5.802276,17.293827,6320,738,-2480,6478,-1180,-1806
54,17344,-27176,-22712,-1066,4129,-3655,-0.01,-0.01,-0.19,0.981628,-0.664832,1.311567,21.959803,7891,-3587,-8034,6111,-6429,-7809
55,16112,-32768,-30376,342,2048,-2574,-0.02,0.02,-0.23,0.973694,-2.977246,-1.873185,26.042303,8294,-8722,-14355,2868,-11939,-14145
56,16412,-32768,-19628,1451,-629,-586,-0.03,0.03,-0.25,0.968445,-3.91767,-2.085048,28.449856,8513,-11917,-17608,666,-15275,-17051
57,16084,-24912,-10632,1572,-2331,1801,-0.03,0.01,-0.24,0.969482,-3.92098,0.353795,28.058752,8074,-13474,-16925,334,-16727,-15913
58,14772,-9876,-884,1502,-3403,3067,-0.04,-0.03,-0.22,0.974915,-3.459024,4.457044,25.202431,7352,-11319,-14320,2473,-14564,-12997
59,12728,1168,8420,1167,-3789,3298,-0.04,-0.08,-0.18,0.979797,-2.714558,9.415717,21.326637,6229,-6975,-10649,4684,-9757,-9149
60,9908,4060,16664,956,-3844,2973,-0.04,-0.12,-0.15,0.98114,-2.177696,14.477418,17.58045,4693,-3032,-6598,4972,-4901,-5098
